State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,1383779,884654,32087,466618,25/07/2020 21:43:24,420,TT,46758,34546,684,
Maharashtra,366368,207194,13389,145481,25/07/2020 20:18:45,304,MH,9251,7227,257,"304 cases are marked as non-covid deaths in MH bulletin. These have been reduced from active count
[June 16] : 1328 deceased cases have been retroactively added to MH bulletin.
[June 20]: 69 deceased cases have been reduced based on state bulletin.
"
Tamil Nadu,206737,151055,3409,52273,25/07/2020 18:17:23,0,TN,6988,7758,89,"[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.
2 deaths cross notified to other states from Chennai and Coimbatore.
1 patient died after turning negative for infection in Chengalpattu.
These cases have been added to TN deceased tally"
Delhi,129531,113068,3806,12657,25/07/2020 17:54:22,0,DL,1142,2137,29,"[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change.
[June 16]: 344 deceased cases have been retroactively added to DL bulletin."
Karnataka,90942,33750,1798,55385,25/07/2020 20:39:24,9,KA,5072,2403,72,9 cases are classified as non-covid related deaths in KA bulletin. They have been reduced from active cases
Andhra Pradesh,88671,43255,985,44431,25/07/2020 18:01:23,0,AP,7813,3320,52,"Total includes patients from other states and a new category ""Foreign Evacuees"" which is now reported in AP bulletin."
Uttar Pradesh,63742,39903,1387,22452,25/07/2020 17:16:23,0,UP,2971,2191,39,
Gujarat,54712,39714,2301,12697,25/07/2020 19:50:23,0,GJ,1081,782,22,
West Bengal,56377,35654,1332,19391,25/07/2020 20:39:26,0,WB,2404,2125,42,
Telangana,52466,40334,455,11677,24/07/2020 22:07:24,0,TG,0,0,0,
Rajasthan,35298,25306,613,9379,25/07/2020 21:26:25,0,RJ,1120,759,11,
Bihar,36314,24520,232,11561,25/07/2020 19:07:23,1,BR,2803,1688,11,
Haryana,30538,23654,389,6495,25/07/2020 20:27:27,0,HR,783,701,7,
Assam,29922,21762,77,8080,25/07/2020 19:27:23,3,AS,0,0,1,"Includes one case from Nagaland.
Total of 3 patients who migrated to other states has been reduced from Active count"
Madhya Pradesh,26926,18488,799,7639,25/07/2020 19:16:24,0,MP,716,622,8,
Odisha,24013,15929,163,7921,25/07/2020 20:06:24,0,OR,1320,728,10,"[July 12th] 20 non-covid deaths reported in state dashboard are included in the deceased count
[June 22nd]: NDRF/ODRF cases have been redistributed to districts based on state dashboard"
Jammu and Kashmir,17305,9517,305,7483,25/07/2020 18:40:24,0,JK,523,300,9,
Kerala,18099,8611,60,9420,25/07/2020 19:50:25,8,KL,1103,1049,5,"Mahe native who expired in Kannur included in Kerala's tally.
One patient who absconded from Palakkad to TN and one patient who returned back to Maharashtra has been reduced from active count"
Punjab,12684,8297,291,4096,25/07/2020 19:58:24,0,PB,468,201,9,
Jharkhand,7627,3354,76,4197,25/07/2020 11:40:23,0,JH,63,0,0,
Chhattisgarh,7087,4683,39,2365,25/07/2020 20:27:28,0,CT,268,116,3,
Uttarakhand,5961,3495,63,2365,25/07/2020 20:39:30,38,UT,244,54,1,38 Migrated cases reduced from Active count
Goa,4686,3047,33,1606,25/07/2020 21:06:26,0,GA,146,182,4,
Tripura,3783,2131,10,1624,25/07/2020 00:33:23,18,TR,0,0,0,18 cases are marked as migrated in Tripura dashboard.
Puducherry,2654,1561,38,1055,25/07/2020 11:16:23,0,PY,139,78,3,
Manipur,2176,1520,0,656,25/07/2020 19:58:25,0,MN,30,29,0,
Himachal Pradesh,2049,1173,12,849,25/07/2020 21:39:27,15,HP,95,28,0,"HP has 16 Migrated cases which are reduced from Active #. Also, death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Ladakh,1276,1057,2,217,25/07/2020 21:43:28,0,LA,30,22,0,
Nagaland,1289,541,0,748,25/07/2020 19:50:27,0,NL,50,4,0,
Arunachal Pradesh,1056,392,3,661,24/07/2020 22:40:25,0,AR,0,0,0,[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.
Chandigarh,852,555,13,284,25/07/2020 19:40:25,0,CH,29,20,0,
Dadra and Nagar Haveli and Daman and Diu,901,544,2,345,25/07/2020 18:17:26,10,DN,37,13,0,10 Migrated cases reduced from Active count
Meghalaya,596,94,5,497,25/07/2020 13:43:23,0,ML,9,7,0,"[June 17]:
One case was identified to be false positive and has been removed from the confirmed cases by ML authorities."
Sikkim,490,137,0,340,24/07/2020 22:07:26,13,SK,0,0,0,13 Migrated cases reduced from Active count
Mizoram,361,183,0,178,25/07/2020 09:51:22,0,MZ,29,0,0,
Andaman and Nicobar Islands,290,176,0,113,25/07/2020 21:06:28,1,AN,31,2,0,
State Unassigned,0,0,0,0,19/07/2020 09:40:01,0,UN,0,0,0,MoHFW website reports that these are the 'cases that are being reassigned to states'. 
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,0,LD,0,0,0,
